Time Period,Period,Metric Name,Expected Value,Actual Value - UI
Year,2021,Discovery_SearchesRaw,49764,54099
Year,2021,Branded_Searches,Not_Available,513
Year,2021,Direct_Searches,48636,51727
Year,2021,Maps_Views,40701,45625
Year,2021,Search_Views,73342,78328
Year,2021,Discovery_Searches,Not_Available,53586
Year,2021,Total_Searches,98400,105826
Year,2021,Total_Views,114043,123953
Year,2021,Website_Actions,6123,6592
Year,2021,Phone_Call_Actions,7803,8312
Year,2021,Clicks,78036123,14904
Year,2021,ClickTroughRate,793.0500305,0.141
Year,2021,Directions_Actions,2907,3147
Year,2021,Total_Actions,16833,18051
 ,, , , 
Quarter,2022-Q2,Discovery_SearchesRaw,21503,18096
Quarter,2022-Q2,Branded_Searches,Not_Available,261
Quarter,2022-Q2,Direct_Searches,14178,11841
Quarter,2022-Q2,Maps_Views,17269,14470
Quarter,2022-Q2,Search_Views,25414,21450
Quarter,2022-Q2,Discovery_Searches,Not_Available,17835
Quarter,2022-Q2,Total_Searches,35681,29937
Quarter,2022-Q2,Total_Views,42683,35920
Quarter,2022-Q2,Website_Actions,1764,1484
Quarter,2022-Q2,Phone_Call_Actions,2579,2135
Quarter,2022-Q2,Clicks,25791764,3619
Quarter,2022-Q2,ClickTroughRate,722.8430818,0.121
Quarter,2022-Q2,Directions_Actions,710,611
Quarter,2022-Q2,Total_Actions,5053,4230
 ,, , , 
Month,2022-07,Discovery_SearchesRaw,6301,5960
Month,2022-07,Branded_Searches,Not_Available,90
Month,2022-07,Direct_Searches,4227,4038
Month,2022-07,Maps_Views,4802,4511
Month,2022-07,Search_Views,7758,7383
Month,2022-07,Discovery_Searches,Not_Available,5870
Month,2022-07,Total_Searches,10528,9998
Month,2022-07,Total_Views,12560,11894
Month,2022-07,Website_Actions,522,502
Month,2022-07,Phone_Call_Actions,700,658
Month,2022-07,Clicks,700522,1160
Month,2022-07,ClickTroughRate,66.53894377,0.116
Month,2022-07,Directions_Actions,241,235
Month,2022-07,Total_Actions,1463,1395
 ,, , , 
Week,2022-30,Discovery_SearchesRaw,1249,1284
Week,2022-30,Branded_Searches,Not_Available,24
Week,2022-30,Direct_Searches,990,991
Week,2022-30,Maps_Views,883,902
Week,2022-30,Search_Views,1764,1770
Week,2022-30,Discovery_Searches,Not_Available,1260
Week,2022-30,Total_Searches,2239,2275
Week,2022-30,Total_Views,2647,2672
Week,2022-30,Website_Actions,129,133
Week,2022-30,Phone_Call_Actions,157,154
Week,2022-30,Clicks,157129,287
Week,2022-30,ClickTroughRate,70.17820456,0.126
Week,2022-30,Directions_Actions,49,50
Week,2022-30,Total_Actions,335,337
 ,, , , 
Year,2022,Discovery_SearchesRaw,48875,45127
Year,2022,Branded_Searches,Not_Available,535
Year,2022,Direct_Searches,32004,29478
Year,2022,Maps_Views,38271,35181
Year,2022,Search_Views,58600,54261
Year,2022,Discovery_Searches,Not_Available,44592
Year,2022,Total_Searches,80879,74605
Year,2022,Total_Views,96871,89442
Year,2022,Website_Actions,4051,3751
Year,2022,Phone_Call_Actions,5609,5123
Year,2022,Clicks,56094051,8874
Year,2022,ClickTroughRate,693.5551997,0.119
Year,2022,Directions_Actions,1638,1533
Year,2022,Total_Actions,11298,10407
 ,, , , 
Quarter,2022-Q3,Discovery_SearchesRaw,7063,6722
Quarter,2022-Q3,Branded_Searches,Not_Available,94
Quarter,2022-Q3,Direct_Searches,4781,4592
Quarter,2022-Q3,Maps_Views,5456,5165
Quarter,2022-Q3,Search_Views,8656,8281
Quarter,2022-Q3,Discovery_Searches,Not_Available,6628
Quarter,2022-Q3,Total_Searches,11844,11314
Quarter,2022-Q3,Total_Views,14112,13446
Quarter,2022-Q3,Website_Actions,610,590
Quarter,2022-Q3,Phone_Call_Actions,785,743
Quarter,2022-Q3,Clicks,785610,1333
Quarter,2022-Q3,ClickTroughRate,66.32978723,0.118
Quarter,2022-Q3,Directions_Actions,286,280
Quarter,2022-Q3,Total_Actions,1681,1613
 ,, , , 
Month,2022-08,Discovery_SearchesRaw,762,762
Month,2022-08,Branded_Searches,Not_Available,4
Month,2022-08,Direct_Searches,554,554
Month,2022-08,Maps_Views,654,654
Month,2022-08,Search_Views,898,898
Month,2022-08,Discovery_Searches,Not_Available,758
Month,2022-08,Total_Searches,1316,1316
Month,2022-08,Total_Views,1552,1552
Month,2022-08,Website_Actions,88,88
Month,2022-08,Phone_Call_Actions,85,85
Month,2022-08,Clicks,8588,173
Month,2022-08,ClickTroughRate,6.525835866,0.132
Month,2022-08,Directions_Actions,45,45
Month,2022-08,Total_Actions,218,218
 ,, , , 
Week,2022-31,Discovery_SearchesRaw,762,878
Week,2022-31,Branded_Searches,Not_Available,5
Week,2022-31,Direct_Searches,554,614
Week,2022-31,Maps_Views,654,712
Week,2022-31,Search_Views,898,1043
Week,2022-31,Discovery_Searches,Not_Available,873
Week,2022-31,Total_Searches,1316,1492
Week,2022-31,Total_Views,1552,1755
Week,2022-31,Website_Actions,88,97
Week,2022-31,Phone_Call_Actions,85,93
Week,2022-31,Clicks,8588,190
Week,2022-31,ClickTroughRate,6.525835866,0.127
Week,2022-31,Directions_Actions,45,45
Week,2022-31,Total_Actions,218,235
 ,, , , 
